52612,96625
86371,91580
47930,78973
73057,100977
36960,94019
81963,86371
70718,89023
66759,94019
36825,91532
7624,75835
37359,90660
9772,34828
53267,75899
70718,96625
8002,74191
49870,96076
53267,85467
61934,67675
74191,90297
81963,91158
50436,53267
18867,20444
489,32557
19216,53267
1324,47113
9772,18867
18867,74191
42122,78517
33367,65240
378,103532
19216,64421
9772,44232
10583,38031
62898,85467
36825,70718
33756,47113
33367,90660
29807,46365
42122,53267
47930,50436
3584,26563
49459,74624
414,74191
8002,46365
3584,47930
10583,36825
74191,94019
13621,49651
18867,34828
8002,18867
12896,33756
19153,85467
414,46365
7624,54549
15039,96625
7873,53267
15039,29807
7624,15039
78269,85467
51237,68875
63990,73960
36383,54148
30525,55033
18867,81963
16014,78314
33367,70292
18388,74896
51237,77807
20164,100079
63689,66327
78517,81963
53267,79725
20444,30059
52774,53267
38894,78973
73282,85467
19153,94019
20677,33756
47930,91158
47930,70292
10583,53267
16014,94019
47930,75289
31819,46365
44551,63689
47930,64256
12896,68131
64421,96625
7624,67675
61934,91158
51237,102559
33146,96625
32934,46528
37278,96625
28634,50547
10583,78517
10612,53267
56952,86232
33367,63689
53267,70560
47930,63974
9772,99433
7624,35419
12896,47930
15039,64421
20164,47930
36825,79446
35419,50547
37177,47195
33367,47728
67675,70718
28634,30251
18867,79226
86371,94019
8002,77807
33367,79725
33246,58328
26479,85467
19153,94428
81963,96625
20677,47930
46192,90660
35419,56569
30251,61925
30439,47930
33146,36825
47113,68345
29807,67675
33367,52774
25740,74191
51237,82603
36383,37177
33367,100079
36825,96625
47930,52774
7624,94428
7624,72733
33756,68875
81459,97494
18867,78973
50436,102559
68324,94019
16194,78517
35419,83313
47930,51237
71374,97494
61934,100079
17470,56383
56952,82715
47930,68131
12209,16194
7624,88887
37166,81963
6877,36383
66464,78030
53267,62898
10583,18867
7849,18867
30251,47930
29807,70718
46365,58328
19153,100951
7624,9018
414,82715
16014,51234
33367,62898
47113,73538
7624,102678
12039,47113
7873,18867
23896,47930
43039,91580
54720,63974
47660,47930
41263,51570
36825,61934
9772,33367
9018,88887
414,94019
7873,79226
6545,89023
18867,50436
86157,97494
29807,30313
78517,94019
34361,100079
2076,80001
16014,71303
31819,70718
15039,46365
9018,16793
53267,78517
8002,70718
47930,91352
26563,90660
67675,78269
34361,68131
414,4346
34006,74191
7873,99433
59637,91158
19153,68324
16014,33382
47930,79887
73538,89493
30251,49459
20444,52774
68102,93603
62898,78517
90297,94019
414,16194
7624,31819
9018,68102
30251,50547
66759,96076
42122,85467
53267,101404
4650,9018
13752,80239
47930,53267
26563,100801
9772,100079
38894,47930
47930,50547
33367,78517
81963,86157
9018,31819
16194,18867
61877,74191
63689,70292
47930,100054
47930,101404
14667,37177
63689,90660
18867,92353
61934,78517
13029,79039
27707,53267
20444,47930
38299,74191
66759,86157
46365,82715
20444,62898
53267,74191
20444,78269
16014,53267
53267,81963
1789,7624
36383,47195
82715,86232
18867,75160
52495,99904
36960,81963
12896,29794
33367,42122
37177,99245
66759,83313
30313,36825
18867,97494
96076,101404
47930,96076
43039,94019
26479,38031
47930,73149
10583,90660
15039,67675
4346,74191
66327,73538
47930,83313
7624,36825
452,7624
9772,21638
14985,98688
36825,66310
71303,75160
4346,46365
101357,103454
38299,81963
2741,53267
32306,51237
46365,70718
90660,100549
19153,74191
13926,85293
7873,9772
8002,33146
10583,70292
9018,36825
15162,47930
64421,67675
33367,81963
18867,71303
78269,101404
16014,18481
42122,43039
18481,46365
10583,33367
1739,10583
16014,56569
56569,83313
18867,62898
18867,33146
9018,93603
20444,53267
7873,33367
20789,74191
70292,91158
10583,63689
68875,102559
56569,66759
414,29807
19153,81963
8002,36825
20677,85467
15162,53267
8296,72380
53267,99433
16014,81963
9772,78517
7873,97494
16014,18867
4346,15039
47113,75632
3584,34366
33367,99433
91352,99433
414,68324
32306,47930
25621,49459
8002,53267
62898,99433
31819,36825
20164,90660
61877,67675
18867,91352
64421,70292
10583,35227
54967,93603
16194,80001
18867,53267
47113,81870
13029,63689
66759,84848
53267,78973
1324,91352
2741,81963
452,9018
18867,94055
81963,94019
47930,74399
53267,90297
16361,85467
32306,53267
38393,47113
53267,94019
58328,94607
74399,91158
33367,84088
